Number of species	22
Number of genes	677423
Number of genes in orthogroups	632793
Number of unassigned genes	44630
Percentage of genes in orthogroups	93.4
Percentage of unassigned genes	6.6
Number of orthogroups	26795
Number of species-specific orthogroups	9194
Number of genes in species-specific orthogroups	37861
Percentage of genes in species-specific orthogroups	5.6
Mean orthogroup size	23.6
Median orthogroup size	7.0
G50 (assigned genes)	49
G50 (all genes)	46
O50 (assigned genes)	3370
O50 (all genes)	3839
Number of orthogroups with all species present	4202
Number of single-copy orthogroups	3
Date	2024-09-05
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	16403	61.2	81788	12.9
'1	6192	23.1	196172	31.0
'2	2173	8.1	114324	18.1
'3	956	3.6	71570	11.3
'4	405	1.5	39401	6.2
'5	217	0.8	25980	4.1
'6	127	0.5	17988	2.8
'7	84	0.3	13715	2.2
'8	63	0.2	11799	1.9
'9	48	0.2	9902	1.6
'10	24	0.1	5551	0.9
11-15	55	0.2	15627	2.5
16-20	21	0.1	8353	1.3
21-50	25	0.1	16731	2.6
51-100	1	0.0	1299	0.2
101-150	1	0.0	2593	0.4
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	9194
2	3334
3	2122
4	583
5	293
6	208
7	143
8	159
9	141
10	137
11	132
12	132
13	133
14	142
15	160
16	195
17	262
18	372
19	684
20	1379
21	2688
22	4202
