	Amborella_trichopoda	Ananas_comosus	Apostasia_shenzhenica	Arabidopsis_thaliana	Asparagus_officinalis	Brachypodium_distachyon	Chiloglottis_trapeziformis_H1	Cymbidium_ensifolium	Dendrobium_catenatum	Dendrobium_hrysotoxum	Dendrobium_nobile	Gastrodia_elata	Musa_acuminata	Oryza_sativa	Phalaenopsis_equestris	Platanthera_guangdongensis	Platanthera_zijinensis	Populu_trichocarpa	Sorghum_bicolor	Spirodela_polyrhiza	Vanilla_planifolia	Vitis_vinifera
Number of genes	31494	23598	21743	20111	36763	52972	16381	28738	34389	27094	29043	33561	36528	42580	29894	22439	24377	36192	47110	19623	29167	33448
Number of genes in orthogroups	30958	22395	20143	19068	35847	47560	15691	27508	34000	24703	26029	31797	30289	41298	29484	20499	22750	35216	42247	18430	24564	32131
Number of unassigned genes	536	1203	1600	1043	916	5412	690	1230	389	2391	3014	1764	6239	1282	410	1940	1627	976	4863	1193	4603	1317
Percentage of genes in orthogroups	98.3	94.9	92.6	94.8	97.5	89.8	95.8	95.7	98.9	91.2	89.6	94.7	82.9	97.0	98.6	91.4	93.3	97.3	89.7	93.9	84.2	96.1
Percentage of unassigned genes	1.7	5.1	7.4	5.2	2.5	10.2	4.2	4.3	1.1	8.8	10.4	5.3	17.1	3.0	1.4	8.6	6.7	2.7	10.3	6.1	15.8	3.9
Number of orthogroups containing species	10942	10519	10453	9027	11034	13843	10106	11354	11032	10412	11574	9958	11053	13157	10632	10668	10771	11515	13827	10489	11082	11615
Percentage of orthogroups containing species	40.8	39.3	39.0	33.7	41.2	51.7	37.7	42.4	41.2	38.9	43.2	37.2	41.2	49.1	39.7	39.8	40.2	43.0	51.6	39.1	41.4	43.3
Number of species-specific orthogroups	362	253	327	285	500	1367	44	330	83	347	253	432	253	722	112	276	237	503	1271	200	370	652
Number of genes in species-specific orthogroups	1476	752	1832	1531	3818	5303	132	996	270	1839	797	1542	705	3040	361	818	757	1871	4538	1201	1001	2989
Percentage of genes in species-specific orthogroups	4.7	3.2	8.4	7.6	10.4	10.0	0.8	3.5	0.8	6.8	2.7	4.6	1.9	7.1	1.2	3.6	3.1	5.2	9.6	6.1	3.4	8.9


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	15854	16277	16343	17769	15762	12953	16690	15442	15764	16384	15222	16838	15743	13639	16164	16128	16025	15281	12969	16307	15714	15181
