	Amborella_trichopoda	Ananas_comosus	Apostasia_shenzhenica	Arabidopsis_thaliana	Asparagus_officinalis	Brachypodium_distachyon	Chiloglottis_trapeziformis	Cymbidium_ensifolium	Dendrobium_catenatum	Dendrobium_hrysotoxum	Dendrobium_nobile	Gastrodia_elata	Musa_acuminata	Oryza_sativa	Phalaenopsis_equestris	Platanthera_guangdongensis	Platanthera_zijinensis	Populu_trichocarpa	Sorghum_bicolor	Spirodela_polyrhiza	Vanilla_planifolia	Vitis_vinifera
Number of genes	31494	23598	21743	20111	36763	52972	16559	28738	34389	27094	29043	33561	36528	42580	29894	22439	24377	36192	47110	19623	29167	33448
Number of genes in orthogroups	30955	22395	20142	19066	35847	47560	15882	27503	34000	24707	26030	31799	30287	41299	29485	20501	22757	35214	42244	18431	24563	32126
Number of unassigned genes	539	1203	1601	1045	916	5412	677	1235	389	2387	3013	1762	6241	1281	409	1938	1620	978	4866	1192	4604	1322
Percentage of genes in orthogroups	98.3	94.9	92.6	94.8	97.5	89.8	95.9	95.7	98.9	91.2	89.6	94.7	82.9	97.0	98.6	91.4	93.4	97.3	89.7	93.9	84.2	96.0
Percentage of unassigned genes	1.7	5.1	7.4	5.2	2.5	10.2	4.1	4.3	1.1	8.8	10.4	5.3	17.1	3.0	1.4	8.6	6.6	2.7	10.3	6.1	15.8	4.0
Number of orthogroups containing species	10938	10519	10449	9028	11035	13839	10177	11357	11026	10419	11574	9956	11043	13153	10633	10665	10764	11508	13819	10487	11082	11605
Percentage of orthogroups containing species	40.8	39.3	39.0	33.7	41.2	51.6	38.0	42.4	41.1	38.9	43.2	37.2	41.2	49.1	39.7	39.8	40.2	42.9	51.6	39.1	41.4	43.3
Number of species-specific orthogroups	363	256	328	288	500	1368	50	329	78	348	252	437	251	722	112	277	237	502	1268	205	371	652
Number of genes in species-specific orthogroups	1480	774	1865	1542	3789	5302	144	995	247	1864	790	1556	697	3040	361	813	757	1875	4591	1250	1000	3129
Percentage of genes in species-specific orthogroups	4.7	3.3	8.6	7.7	10.3	10.0	0.9	3.5	0.7	6.9	2.7	4.6	1.9	7.1	1.2	3.6	3.1	5.2	9.7	6.4	3.4	9.4


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	15857	16276	16346	17767	15760	12956	16618	15438	15769	16376	15221	16839	15752	13642	16162	16130	16031	15287	12976	16308	15713	15190
'1	4396	5388	6898	5265	4521	4967	7211	5946	4246	6168	6826	3602	4731	5362	4268	6413	6544	3450	5350	7027	5463	6241
'2	2526	2704	1966	2008	2530	3148	1811	2418	2581	2217	2430	2168	2602	2944	2434	2329	2257	3608	3339	2073	2813	2732
