Contig Filtering Summary
-------------------------
Kept contigs: 30

Kept Contigs:
scaffold_1: 161115775bp
scaffold_2: 136471126bp
scaffold_3: 117519096bp
scaffold_4: 106220175bp
scaffold_5: 106204857bp
scaffold_6: 103542514bp
scaffold_7: 100600513bp
scaffold_8: 94174471bp
scaffold_9: 91916569bp
scaffold_10: 83536789bp
scaffold_11: 80898707bp
scaffold_12: 78873979bp
scaffold_13: 78154206bp
scaffold_14: 74049591bp
scaffold_15: 65888816bp
scaffold_16: 64669446bp
scaffold_17: 60290029bp
scaffold_18: 59044250bp
scaffold_19: 42846114bp
scaffold_20: 42156052bp
scaffold_21: 33368169bp
scaffold_22: 29651490bp
scaffold_23: 26691237bp
scaffold_24: 21274556bp
scaffold_25: 18437626bp
scaffold_26: 18312622bp
scaffold_27: 14623521bp
scaffold_28: 9314892bp
scaffold_29: 9109047bp
scaffold_30: 8223233bp
