Contig Filtering Summary
-------------------------
Kept contigs: 30

Kept Contigs:
scaffold_1: 111321408bp
scaffold_2: 104883955bp
scaffold_3: 100082560bp
scaffold_4: 98609478bp
scaffold_5: 95989229bp
scaffold_6: 90859761bp
scaffold_7: 84762357bp
scaffold_8: 74977438bp
scaffold_9: 72825951bp
scaffold_10: 70494878bp
scaffold_11: 66179050bp
scaffold_12: 61892164bp
scaffold_13: 60538875bp
scaffold_14: 58720507bp
scaffold_15: 55181820bp
scaffold_16: 54881992bp
scaffold_17: 49944353bp
scaffold_18: 46524956bp
scaffold_19: 46505068bp
scaffold_20: 45841284bp
scaffold_21: 41857701bp
scaffold_22: 36194054bp
scaffold_23: 21928938bp
scaffold_24: 16396727bp
scaffold_25: 14540570bp
scaffold_26: 7617991bp
scaffold_27: 6342664bp
scaffold_28: 5901325bp
scaffold_29: 4746724bp
scaffold_30: 4324740bp
